entity_name,year,gdp_per_capita,origin
Afghanistan,2021,1516,wb
Afghanistan,2020,1968,wb
Afghanistan,2018,2061,wb
Afghanistan,2017,2096,wb
Afghanistan,2019,2080,wb
Albania,2019,13653,wb
Albania,2017,12771,wb
Albania,2018,13317,wb
Albania,2020,13278,wb
Albania,2021,14596,wb
Albania,2022,15492,wb
Algeria,2017,11809,wb
Algeria,2018,11726,wb
Algeria,2019,11627,wb
Algeria,2021,11029,wb
Algeria,2022,11198,wb
Algeria,2020,10845,wb
Angola,2017,7216,wb
Angola,2018,6879,wb
Angola,2019,6602,wb
Angola,2020,6030,wb
Angola,2021,5912,wb
Angola,2022,5906,wb
Anguilla,2017,13414,pw
Anguilla,2018,10206,pw
Anguilla,2019,15178,pw
Antigua and Barbuda,2017,21672,wb
Antigua and Barbuda,2018,23051,wb
Antigua and Barbuda,2019,23639,wb
Antigua and Barbuda,2020,19062,wb
Antigua and Barbuda,2021,20501,wb
Antigua and Barbuda,2022,22322,wb
Argentina,2018,22747,wb
Argentina,2022,22461,wb
Argentina,2021,21600,wb
Argentina,2020,19695,wb
Argentina,2019,22072,wb
Argentina,2017,23597,wb
Armenia,2022,16057,wb
Armenia,2021,14207,wb
Armenia,2020,13358,wb
Armenia,2019,14318,wb
Armenia,2018,13231,wb
Armenia,2017,12510,wb
Aruba,2017,38868,wb
Aruba,2018,39598,wb
Aruba,2019,38511,wb
Aruba,2020,29236,wb
Aruba,2021,37334,wb
Aruba,2022,41274,wb
Australia,2022,51090,wb
Australia,2021,49609,wb
Australia,2020,48652,wb
Australia,2019,49421,wb
Australia,2018,49086,wb
Australia,2017,48419,wb
Austria,2022,55867,wb
Austria,2021,53817,wb
Austria,2020,51855,wb
Austria,2019,55770,wb
Austria,2018,55217,wb
Austria,2017,54173,wb
Azerbaijan,2017,14121,wb
Azerbaijan,2018,14210,wb
Azerbaijan,2019,14442,wb
Azerbaijan,2020,13727,wb
Azerbaijan,2021,14434,wb
Azerbaijan,2022,15094,wb
Bahamas,2017,34068,wb
Bahamas,2018,34810,wb
Bahamas,2019,34325,wb
Bahamas,2020,26132,wb
Bahamas,2022,34663,wb
Bahamas,2021,30463,wb
Bahrain,2017,48929,wb
Bahrain,2021,49754,wb
Bahrain,2019,49769,wb
Bahrain,2018,48938,wb
Bahrain,2020,47994,wb
Bahrain,2022,51855,wb
Bangladesh,2017,4831,wb
Bangladesh,2018,5124,wb
Bangladesh,2019,5467,wb
Bangladesh,2020,5591,wb
Bangladesh,2021,5911,wb
Bangladesh,2022,6263,wb
Barbados,2022,15417,wb
Barbados,2021,13869,wb
Barbados,2020,14004,wb
Barbados,2019,16078,wb
Barbados,2018,16063,wb
Barbados,2017,16234,wb
Belarus,2017,18356,wb
Belarus,2020,19240,wb
Belarus,2019,19288,wb
Belarus,2018,18975,wb
Belarus,2021,19873,wb
Belarus,2022,19092,wb
Belgium,2022,53287,wb
Belgium,2017,50442,wb
Belgium,2018,51113,wb
Belgium,2019,51977,wb
Belgium,2021,52175,wb
Belgium,2020,49031,wb
Belize,2017,8799,wb
Belize,2018,8720,wb
Belize,2019,8925,wb
Belize,2020,7586,wb
Belize,2021,8827,wb
Belize,2022,9474,wb
Benin,2021,3322,wb
Benin,2017,2934,wb
Benin,2018,3040,wb
Benin,2019,3156,wb
Benin,2020,3186,wb
Benin,2022,3435,wb
Bermuda,2020,76118,wb
Bermuda,2022,81166,wb
Bermuda,2021,78570,wb
Bermuda,2019,81682,wb
Bermuda,2018,81423,wb
Bermuda,2017,81835,wb
Bhutan,2021,11596,wb
Bhutan,2020,11176,wb
Bhutan,2019,12530,wb
Bhutan,2018,11932,wb
Bhutan,2017,11619,wb
Bolivia,2018,8466,wb
Bolivia,2019,8529,wb
Bolivia,2020,7680,wb
Bolivia,2021,8053,wb
Bolivia,2022,8244,wb
Bolivia,2017,8245,wb
Bosnia and Herzegovina,2020,14588,wb
Bosnia and Herzegovina,2019,14852,wb
Bosnia and Herzegovina,2018,14268,wb
Bosnia and Herzegovina,2017,13582,wb
Bosnia and Herzegovina,2021,15893,wb
Bosnia and Herzegovina,2022,16737,wb
Botswana,2017,14657,wb
Botswana,2019,15118,wb
Botswana,2020,13545,wb
Botswana,2021,14907,wb
Botswana,2022,15519,wb
Botswana,2018,14962,wb
Brazil,2022,15093,wb
Brazil,2019,14685,wb
Brazil,2021,14736,wb
Brazil,2020,14110,wb
Brazil,2017,14478,wb
Brazil,2018,14620,wb
British Virgin Islands,2017,35850,pw
British Virgin Islands,2019,37369,pw
British Virgin Islands,2018,36694,pw
Brunei,2022,58670,wb
Brunei,2021,60127,wb
Brunei,2020,61604,wb
Brunei,2019,61424,wb
Brunei,2018,59650,wb
Brunei,2017,60173,wb
Bulgaria,2021,24386,wb
Bulgaria,2022,26961,wb
Bulgaria,2020,22467,wb
Bulgaria,2019,23255,wb
Bulgaria,2018,22196,wb
Bulgaria,2017,21458,wb
Burkina Faso,2018,2051,wb
Burkina Faso,2017,1978,wb
Burkina Faso,2021,2176,wb
Burkina Faso,2019,2106,wb
Burkina Faso,2020,2090,wb
Burkina Faso,2022,2159,wb
Burundi,2017,751,wb
Burundi,2018,740,wb
Burundi,2019,730,wb
Burundi,2021,714,wb
Burundi,2022,708,wb
Burundi,2020,711,wb
Cambodia,2017,3973,wb
Cambodia,2018,4218,wb
Cambodia,2019,4464,wb
Cambodia,2020,4276,wb
Cambodia,2021,4355,wb
Cambodia,2022,4534,wb
Cameroon,2022,3724,wb
Cameroon,2021,3689,wb
Cameroon,2020,3666,wb
Cameroon,2019,3757,wb
Cameroon,2018,3733,wb
Cameroon,2017,3691,wb
Canada,2018,48946,wb
Canada,2019,49169,wb
Canada,2020,46193,wb
Canada,2021,48356,wb
Canada,2022,49296,wb
Canada,2017,48317,wb
Cape Verde,2017,7131,wb
Cape Verde,2018,7314,wb
Cape Verde,2019,7743,wb
Cape Verde,2020,6073,wb
Cape Verde,2021,6357,wb
Cape Verde,2022,7379,wb
Cayman Islands,2022,71354,wb
Cayman Islands,2021,69401,wb
Cayman Islands,2020,67531,wb
Cayman Islands,2019,72432,wb
Cayman Islands,2017,69535,wb
Cayman Islands,2018,71046,wb
Central African Republic,2017,840,wb
Central African Republic,2018,855,wb
Central African Republic,2019,862,wb
Central African Republic,2020,848,wb
Central African Republic,2021,838,wb
Central African Republic,2022,824,wb
Chad,2022,1413,wb
Chad,2021,1425,wb
Chad,2020,1489,wb
Chad,2019,1562,wb
Chad,2018,1564,wb
Chad,2017,1580,wb
Chile,2021,25413,wb
Chile,2017,24547,wb
Chile,2018,25072,wb
Chile,2019,24810,wb
Chile,2022,25886,wb
Chile,2020,22971,wb
China,2021,17658,wb
China,2019,15978,wb
China,2018,15134,wb
China,2017,14244,wb
China,2020,16297,wb
China,2022,18188,wb
Colombia,2022,15617,wb
Colombia,2021,14661,wb
Colombia,2020,13358,wb
Colombia,2019,14616,wb
Colombia,2018,14426,wb
Colombia,2017,14335,wb
Comoros,2017,3240,wb
Comoros,2018,3295,wb
Comoros,2019,3291,wb
Comoros,2020,3222,wb
Comoros,2021,3229,wb
Comoros,2022,3246,wb
Congo,2017,4346,wb
Congo,2018,4145,wb
Congo,2019,4094,wb
Congo,2020,3749,wb
Congo,2021,3700,wb
Congo,2022,3670,wb
Costa Rica,2018,20503,wb
Costa Rica,2017,20168,wb
Costa Rica,2019,20818,wb
Costa Rica,2020,19778,wb
Costa Rica,2021,21220,wb
Costa Rica,2022,22071,wb
Cote d'Ivoire,2022,5537,wb
Cote d'Ivoire,2021,5316,wb
Cote d'Ivoire,2020,5092,wb
Cote d'Ivoire,2019,5132,wb
Cote d'Ivoire,2018,4942,wb
Cote d'Ivoire,2017,4836,wb
Croatia,2022,34302,wb
Croatia,2021,32061,wb
Croatia,2020,27002,wb
Croatia,2018,28288,wb
Croatia,2017,27268,wb
Croatia,2019,29412,wb
Cuba,2022,9500,other-estimated
Curacao,2017,24796,wb
Curacao,2020,19907,wb
Curacao,2019,23904,wb
Curacao,2021,21091,wb
Curacao,2018,24402,wb
Curacao,2022,23115,wb
Cyprus,2022,44996,wb
Cyprus,2021,43417,wb
Cyprus,2020,39872,wb
Cyprus,2019,41742,wb
Cyprus,2018,39977,wb
Cyprus,2017,38288,wb
Czechia,2018,39941,wb
Czechia,2019,40990,wb
Czechia,2020,38640,wb
Czechia,2021,40744,wb
Czechia,2022,41052,wb
Czechia,2017,38825,wb
Democratic Republic of Congo,2022,1133,wb
