noc_code,gold,silver,bronze
USA,39,41,33
CHN,38,32,19
JPN,27,14,17
GBR,22,20,22
ROC,20,28,23
AUS,17,7,22
NED,10,12,14
FRA,10,12,11
GER,10,11,16
ITA,10,10,20
CAN,7,7,10
BRA,7,6,8
NZL,7,6,7
CUB,7,3,5
HUN,6,7,7
KOR,6,4,10
POL,4,5,5
CZE,4,4,3
KEN,4,4,2
NOR,4,2,2
JAM,4,1,4
ESP,3,8,6
SWE,3,6,0
SUI,3,4,6
DEN,3,4,4
CRO,3,3,2
IRI,3,2,2
SRB,3,1,5
BEL,3,1,3
BUL,3,1,2
SLO,3,1,1
UZB,3,0,2
GEO,2,5,1
TPE,2,4,6
TUR,2,2,9
GRE,2,1,1
UGA,2,1,1
ECU,2,1,0
IRL,2,0,2
ISR,2,0,2
QAT,2,0,1
BAH,2,0,0
KOS,2,0,0
UKR,1,6,12
BLR,1,3,3
ROU,1,3,0
VEN,1,3,0
IND,1,2,4
HKG,1,2,3
PHI,1,2,1
SVK,1,2,1
RSA,1,2,0
AUT,1,1,5
EGY,1,1,4
INA,1,1,3
ETH,1,1,2
POR,1,1,2
TUN,1,1,0
EST,1,0,1
FIJ,1,0,1
LAT,1,0,1
THA,1,0,1
BER,1,0,0
MAR,1,0,0
PUR,1,0,0
COL,0,4,1
AZE,0,3,4
DOM,0,3,2
ARM,0,2,2
KGZ,0,2,1
MGL,0,1,3
ARG,0,1,2
SMR,0,1,2
JOR,0,1,1
MAS,0,1,1
NGR,0,1,1
BRN,0,1,0
LTU,0,1,0
NAM,0,1,0
MKD,0,1,0
KSA,0,1,0
TKM,0,1,0
KAZ,0,0,8
MEX,0,0,4
FIN,0,0,2
BOT,0,0,1
BUR,0,0,1
GHA,0,0,1
GRN,0,0,1
CIV,0,0,1
KUW,0,0,1
MDA,0,0,1
SYR,0,0,1
