entity_name,year,population
Afghanistan,2017,35688942
Afghanistan,2018,36743040
Afghanistan,2019,37856126
Afghanistan,2020,39068978
Afghanistan,2021,40000411
Afghanistan,2022,40578846
Afghanistan,2023,41454762
Afghanistan,2024,42647502
Africa (UN),2017,1282902108
Africa (UN),2018,1315409781
Africa (UN),2019,1348005491
Africa (UN),2020,1380821159
Africa (UN),2021,1413753053
Africa (UN),2022,1446883651
Africa (UN),2023,1480770527
Africa (UN),2024,1515140855
Albania,2017,2898247
Albania,2018,2894231
Albania,2019,2885012
Albania,2020,2871951
Albania,2021,2849643
Albania,2022,2827615
Albania,2023,2811660
Albania,2024,2791757
Algeria,2017,41689304
Algeria,2018,42505033
Algeria,2019,43294550
Algeria,2020,44042093
Algeria,2021,44761101
Algeria,2022,45477391
Algeria,2023,46164221
Algeria,2024,46814301
American Samoa,2017,51606
American Samoa,2018,50928
American Samoa,2019,50230
American Samoa,2020,49779
American Samoa,2021,49248
American Samoa,2022,48365
American Samoa,2023,47543
American Samoa,2024,46790
Americas (UN),2017,1000714164
Americas (UN),2018,1009489473
Americas (UN),2019,1017894602
Americas (UN),2020,1024463737
Americas (UN),2021,1029207261
Americas (UN),2022,1034848562
Americas (UN),2023,1041794259
Americas (UN),2024,1048761177
Andorra,2017,73781
Andorra,2018,75182
Andorra,2019,76491
Andorra,2020,77398
Andorra,2021,78375
Andorra,2022,79722
Andorra,2023,80868
Andorra,2024,81954
Angola,2017,30234837
Angola,2018,31297160
Angola,2019,32375632
Angola,2020,33451140
Angola,2021,34532427
Angola,2022,35635028
Angola,2023,36749907
Angola,2024,37885853
Anguilla,2017,14449
Anguilla,2018,14746
Anguilla,2019,14845
Anguilla,2020,14864
Anguilla,2021,14503
Anguilla,2022,14202
Anguilla,2023,14435
Anguilla,2024,14623
Antigua and Barbuda,2017,90483
Antigua and Barbuda,2018,90942
Antigua and Barbuda,2019,91377
Antigua and Barbuda,2020,91864
Antigua and Barbuda,2021,92358
Antigua and Barbuda,2022,92851
Antigua and Barbuda,2023,93333
Antigua and Barbuda,2024,93784
Argentina,2017,44288898
Argentina,2018,44654876
Argentina,2019,44973468
Argentina,2020,45191960
Argentina,2021,45312283
Argentina,2022,45407904
Argentina,2023,45538402
Argentina,2024,45696154
Armenia,2017,2914967
Armenia,2018,2909970
Armenia,2019,2903975
Armenia,2020,2890894
Armenia,2021,2870339
Armenia,2022,2880883
Armenia,2023,2943395
Armenia,2024,2973843
Aruba,2017,105736
Aruba,2018,106447
Aruba,2019,107089
Aruba,2020,107411
Aruba,2021,107565
Aruba,2022,107792
Aruba,2023,107946
Aruba,2024,108076
Asia (UN),2017,4572478790
Asia (UN),2018,4613623524
Asia (UN),2019,4652385277
Asia (UN),2020,4688113349
Asia (UN),2021,4718316356
Asia (UN),2022,4747661012
Asia (UN),2023,4778004495
Asia (UN),2024,4806897977
Australia,2017,24731044
Australia,2018,25119700
Australia,2019,25482714
Australia,2020,25743787
Australia,2021,25956416
Australia,2022,26200987
Australia,2023,26451125
Australia,2024,26713206
Austria,2017,8798780
Austria,2018,8841652
Austria,2019,8880875
Austria,2020,8921402
Austria,2021,8967053
Austria,2022,9064679
Austria,2023,9130434
Austria,2024,9120816
Azerbaijan,2017,9968511
Azerbaijan,2018,10039778
Azerbaijan,2019,10110486
Azerbaijan,2020,10181736
Azerbaijan,2021,10234373
Azerbaijan,2022,10295307
Azerbaijan,2023,10318210
Azerbaijan,2024,10336579
Bahamas,2017,390497
Bahamas,2018,392718
Bahamas,2019,394684
Bahamas,2020,395874
Bahamas,2021,396381
Bahamas,2022,397544
Bahamas,2023,399452
Bahamas,2024,401281
Bahrain,2017,1482004
Bahrain,2018,1497634
Bahrain,2019,1485675
Bahrain,2020,1483081
Bahrain,2021,1501762
Bahrain,2022,1533459
Bahrain,2023,1569674
Bahrain,2024,1607060
Bangladesh,2017,162186147
Bangladesh,2018,163523108
Bangladesh,2019,164913060
Bangladesh,2020,166298024
Bangladesh,2021,167658855
Bangladesh,2022,169384890
Bangladesh,2023,171466986
Bangladesh,2024,173562367
Barbados,2017,280176
Barbados,2018,280715
Barbados,2019,281216
Barbados,2020,281705
Barbados,2021,282156
Barbados,2022,282324
Barbados,2023,282348
Barbados,2024,282476
Belarus,2017,9495792
Belarus,2018,9480033
Belarus,2019,9435414
Belarus,2020,9350943
Belarus,2021,9251367
Belarus,2022,9173241
Belarus,2023,9115680
Belarus,2024,9056698
Belgium,2017,11376583
Belgium,2018,11428609
Belgium,2019,11490622
Belgium,2020,11540103
Belgium,2021,11570842
Belgium,2022,11641813
Belgium,2023,11712894
Belgium,2024,11738761
Belize,2017,373216
Belize,2018,380232
Belize,2019,385833
Belize,2020,390819
Belize,2021,395356
Belize,2022,402741
Belize,2023,411115
Belize,2024,417077
Benin,2017,12039777
Benin,2018,12383349
Benin,2019,12726761
Benin,2020,13070170
Benin,2021,13413423
Benin,2022,13759507
Benin,2023,14111035
Benin,2024,14462720
Bermuda,2017,63602
Bermuda,2018,63852
Bermuda,2019,64130
Bermuda,2020,64405
Bermuda,2021,64672
Bermuda,2022,64772
Bermuda,2023,64721
Bermuda,2024,64658
Bhutan,2017,754343
Bhutan,2018,759767
Bhutan,2019,764829
Bhutan,2020,770014
Bhutan,2021,775451
Bhutan,2022,780920
Bhutan,2023,786387
Bhutan,2024,791530
Bolivia,2017,11344592
Bolivia,2018,11508370
Bolivia,2019,11671386
Bolivia,2020,11816300
Bolivia,2021,11937369
Bolivia,2022,12077155
Bolivia,2023,12244161
Bolivia,2024,12413319
Bonaire Sint Eustatius and Saba,2017,24819
Bonaire Sint Eustatius and Saba,2018,25184
Bonaire Sint Eustatius and Saba,2019,25652
Bonaire Sint Eustatius and Saba,2020,26475
Bonaire Sint Eustatius and Saba,2021,27346
Bonaire Sint Eustatius and Saba,2022,28654
Bonaire Sint Eustatius and Saba,2023,29919
Bonaire Sint Eustatius and Saba,2024,30699
Bosnia and Herzegovina,2017,3428684
Bosnia and Herzegovina,2018,3386999
Bosnia and Herzegovina,2019,3345534
Bosnia and Herzegovina,2020,3299352
Bosnia and Herzegovina,2021,3244909
Bosnia and Herzegovina,2022,3204805
Bosnia and Herzegovina,2023,3185071
Bosnia and Herzegovina,2024,3164255
